year,B_assets,B_current_assets,B_equity,B_inventory,B_long_term_liabilities,B_short_term_liabilities,B_cash,PL_revenue,PL_cost_of_sales,PL_profit_before_tax,PL_net_profit,PL_interest_payable,PL_interest_receivable,CFo_materials,CFo_wages,CFo_taxes,age,okved_section,region_name
2023,1095399.05,550535.59,699048.0,104079.43,38051.63,77795.4,53683.66,655023.47,470564.2,176575.27,137136.07,3293.99,2432.71,316080.0,118310.72,31769.46,2,K,Нижегородская обл.
2023,126835.1,81474.51,65068.77,12298.63,19704.31,4462.98,2774.83,67269.03,63347.55,-1800.22,-1463.28,738.55,85.27,17457.63,11942.99,3402.26,3,C,Санкт-Петербург
2023,67781.67,49520.11,32966.62,960.86,2734.43,14183.24,10290.28,105740.65,74331.19,33387.14,23636.07,677.22,19.3,46202.35,14793.4,4642.05,13,K,Челябинская обл.
2023,321139.18,169909.3,143896.98,25304.97,5705.75,25591.64,8289.92,383975.96,343403.59,45650.11,41464.63,174.61,25.01,175873.92,33597.4,17638.84,6,K,Ростовская обл.
2023,1459.93,704.38,569.63,109.57,64.59,137.34,42.15,2186.39,1745.8,447.55,337.91,48.02,0.05,1253.92,361.38,91.67,7,Q,Нижегородская обл.
2023,84645.28,46561.61,47745.34,10741.43,3298.0,3692.22,1923.07,202578.05,163119.79,37262.04,25542.13,97.83,35.21,111624.45,35972.15,13599.73,11,K,Нижегородская обл.
2023,357898.29,229119.69,156345.43,28443.84,70721.06,8617.85,47636.0,405031.23,236120.71,162981.71,131551.52,878.03,2497.83,205131.5,75453.7,21823.25,7,K,Ростовская обл.
2023,5946091.06,1982556.25,1093793.18,623105.48,682710.63,64094.11,264025.57,3477213.04,1946226.27,1618247.48,1643534.76,27939.58,2974.58,708419.91,582310.23,330804.83,5,H,Татарстан
2023,83062.52,17075.4,23750.7,462.21,4674.3,12481.11,747.98,344410.53,261043.69,82870.6,67972.07,660.89,10.88,176374.46,46992.83,18327.49,3,N,Башкортостан
2023,24181.58,11302.94,9616.98,3220.13,8616.8,633.89,1880.51,21910.75,17631.37,4624.44,3405.7,268.04,135.52,10748.35,4375.58,854.14,9,Q,Москва
2023,52818.66,19378.81,24148.69,3140.42,2645.19,7424.78,2171.24,46402.16,30972.52,15928.42,9504.56,744.14,118.12,20676.55,7113.1,4798.61,1,M,Башкортостан
2023,2186013.95,1035687.44,903281.47,257644.64,10493.31,129826.57,119554.79,5662920.67,3800559.68,2180454.97,1643344.64,5100.79,3922.96,1398615.62,717796.99,329992.7,2,J,Санкт-Петербург
2023,397724.38,209932.03,225221.97,39128.0,9678.49,25651.73,16654.2,489563.75,409347.39,96787.95,78223.18,1661.98,155.05,167588.74,69012.49,34172.77,7,C,Москва
2023,40050.12,19304.67,7444.03,5234.74,1835.34,3043.78,1062.43,57883.75,48407.34,10034.59,7360.27,313.83,3.97,17557.17,3629.4,3579.65,21,K,Нижегородская обл.
2023,553636.51,425120.94,242066.8,63347.71,7559.26,30454.75,51127.58,1051426.83,805630.47,325621.85,188910.77,48.17,24.83,229735.88,148133.33,65672.35,4,K,Татарстан
2023,203051.21,121630.05,40984.36,11203.39,47890.58,2584.02,8185.07,520739.42,446804.93,84877.01,57540.86,2133.74,27.79,218558.75,96035.72,31615.69,13,M,Самарская обл.
2023,1812913.55,1078812.56,926698.82,316782.89,211178.11,80608.71,225477.58,2289205.7,1516781.39,921790.71,879890.36,31452.33,2341.5,778828.5,382272.52,64002.32,9,C,Татарстан
2023,35001.85,22517.78,14304.03,3848.77,874.67,4577.63,536.88,111650.88,83113.64,31925.52,30395.65,4.78,12.93,76205.14,25236.81,6403.24,4,K,Ростовская обл.
2023,72869.71,27630.38,34274.5,5463.21,5209.09,9583.55,5309.71,37366.45,35303.36,-1378.21,-928.37,384.24,10.54,15063.27,5113.65,878.22,12,G,Санкт-Петербург
2023,76078.55,53701.32,24066.24,14970.86,7779.21,3078.32,5011.45,165945.59,130571.34,46200.83,39766.48,1415.15,22.02,91166.41,28935.21,7718.58,13,M,Москва
2023,4092.85,2204.56,2347.4,214.82,928.24,302.73,260.02,4012.76,3180.64,859.24,548.69,26.81,1.56,1055.72,760.97,142.4,1,G,Татарстан
2023,349371.55,227291.38,190409.93,51740.44,59644.3,9013.2,34091.31,1035118.95,1014416.57,18013.41,17086.04,2107.22,1022.35,379879.38,276524.63,59156.43,3,K,Нижегородская обл.
2023,171644.02,66807.53,84109.92,8872.6,9941.66,4864.94,4154.43,274910.32,175960.69,102816.91,83222.92,2955.56,119.22,118126.16,43226.42,15582.61,1,G,Ростовская обл.
2023,217006.36,68777.17,87769.94,11652.67,25869.11,607.19,10444.15,231244.13,198787.41,28467.96,25449.13,294.28,250.73,76122.01,22613.51,13787.45,5,C,Нижегородская обл.
2023,100456.36,67575.33,49181.71,12554.3,6637.09,27371.17,0.0,208751.38,197562.02,13558.99,7785.42,114.75,0.0,78862.08,40163.02,11637.04,19,J,Краснодарский край
2023,6380.34,3869.43,2138.52,232.1,410.66,181.16,219.79,14876.98,11120.75,3315.96,2856.09,58.06,3.06,5924.09,3619.37,563.29,1,C,Ростовская обл.
2023,23849.3,9890.12,12465.23,1164.0,232.53,738.85,440.67,49043.22,42469.61,9698.32,7555.76,98.52,1.34,19450.99,6565.54,2196.15,4,K,Краснодарский край
2023,129278.74,54238.96,79886.21,15625.48,1394.48,5087.65,1344.56,115252.19,78578.72,36018.91,31777.02,207.04,10.36,69786.57,22134.65,7884.16,16,O,Москва
2023,21003.2,15097.42,11519.69,3787.87,1266.96,343.5,1315.03,24598.02,17497.23,6630.25,5899.49,58.14,89.94,11261.53,5200.92,1755.24,6,Q,Москва
2023,151636.36,56346.28,50411.16,9859.97,3798.82,18553.12,6938.76,225754.67,184779.44,30534.91,24058.28,2019.17,811.15,105642.14,45343.56,6109.9,7,G,Санкт-Петербург
2023,327143.88,260537.7,151588.69,51964.21,556.44,3066.62,37037.93,478076.26,411077.06,73423.97,51976.86,243.03,1159.09,226591.64,74712.77,9265.81,15,M,Москва
2023,21840943.85,9061958.08,5783984.6,1417839.39,2242029.59,377684.47,1037164.71,47401747.94,42286798.39,5558409.72,4855624.09,40355.06,77376.26,22812690.24,5454818.34,1680970.85,6,G,Свердловская обл.
2023,183582.58,118550.06,89714.39,34204.86,485.04,22799.91,7119.93,100004.38,93700.39,8246.2,6372.51,19.84,219.86,41172.93,14594.24,7090.73,10,O,Свердловская обл.
2023,256977.88,128670.68,121826.12,21098.36,18595.99,12797.54,15715.96,453118.43,350376.25,79468.85,53662.59,1025.55,15.92,175776.13,78357.78,33665.65,0,M,Нижегородская обл.
2023,239928.11,153668.7,46935.23,30510.52,14871.28,35437.08,16512.8,309620.9,278461.02,6371.93,4266.52,4926.13,2840.03,135205.75,60503.37,9754.84,2,C,Челябинская обл.
2023,1268.85,594.31,356.02,161.46,352.01,124.12,92.81,1244.66,928.23,355.36,214.19,53.84,0.29,666.74,207.48,69.88,3,G,Краснодарский край
2023,162583.2,85450.65,62760.91,10066.97,8611.21,5769.94,12528.45,167326.42,145608.98,34138.43,24537.51,2249.73,431.38,89122.04,21920.53,14505.3,5,G,Башкортостан
2023,245633.49,136606.09,94297.92,41624.3,1291.33,31014.39,13910.4,329169.14,263581.82,48695.12,44425.68,3418.96,121.63,130337.86,58516.06,19192.61,26,M,Москва
2023,89237315.71,35665645.88,24528015.58,2053024.68,5727363.64,1323652.01,1646498.11,21993715.15,18135309.11,5606291.98,4492543.64,305874.57,24576.42,10926133.91,4244880.57,1724968.52,29,G,Санкт-Петербург
2023,105263.63,69592.28,49124.16,21599.45,15490.23,9710.64,4232.81,110589.28,90943.18,21215.98,15199.72,741.0,131.84,44295.6,18687.43,7738.43,15,K,Санкт-Петербург
2023,385908.92,182541.85,173727.25,27415.22,177830.71,26615.62,12232.61,371553.91,230188.61,141234.09,123803.36,15241.35,210.49,157311.12,40198.66,11813.94,3,J,Москва
2023,306890.18,158266.34,121739.56,25415.06,13815.49,11482.68,12832.87,597576.06,398934.5,186763.29,127018.23,1703.06,111.03,222685.32,84216.21,27608.24,26,Q,Свердловская обл.
2023,8612.93,3452.47,2836.28,99.43,266.04,957.43,400.77,8589.16,6787.62,1206.95,955.23,47.26,4.9,3451.43,1695.42,435.43,6,O,Нижегородская обл.
2023,3009807.71,498574.5,1642888.05,71603.49,571005.0,740604.92,71251.51,4032228.87,2464788.98,1766577.26,1339850.55,5992.62,893.2,2234391.11,326002.11,210009.24,4,G,Москва
2023,1461580.44,761988.88,904205.06,73772.32,24818.3,876948.26,73861.77,4714565.02,4069240.59,462492.09,403984.84,117445.63,7095.42,2023689.86,213763.56,322130.1,9,K,Челябинская обл.
2023,1638411.36,1494054.73,593060.06,196301.3,125256.76,184004.43,150850.95,4018476.49,3484644.38,377150.37,222795.02,9402.71,7252.28,1742123.09,905781.25,233769.63,0,M,Челябинская обл.
2023,23924.07,15973.88,8290.65,2699.83,996.0,1489.13,1734.74,56037.49,45542.62,13274.12,8999.54,56.1,31.93,15425.9,9838.54,0.0,0,N,Москва
2023,6573814.69,3596605.95,3148495.15,922972.99,22061.77,201284.56,248330.11,7638170.19,5101431.51,1817611.28,1060413.54,11090.08,1660.73,2971825.72,1377440.88,181354.56,11,C,Татарстан
2023,3471.95,1772.66,1309.05,348.52,118.5,123.82,78.84,6795.3,6238.18,39.45,29.55,13.57,3.94,2690.05,653.43,42.49,9,G,Башкортостан
2023,1152186.72,637585.43,464645.03,130458.99,28407.92,90268.61,0.0,1529151.09,1498568.06,29196.52,27017.62,1403.9,0.0,515454.89,285762.25,81820.75,3,G,Свердловская обл.
2023,27569908.02,17426052.96,14026421.69,1609443.22,2555515.72,1514327.9,1015782.72,37288250.73,29633259.33,8201794.57,5899930.86,369059.52,7201.12,15741851.84,6106414.71,2043759.81,5,H,Санкт-Петербург
2023,14979.68,5585.59,2859.28,611.84,3561.36,4406.28,717.13,27427.25,22793.52,5298.48,3808.12,136.41,9.8,10342.32,1941.4,1526.72,18,F,Санкт-Петербург
2023,31507.25,22595.37,18217.37,7318.59,786.52,1736.68,1306.58,34873.28,27904.69,6442.36,5698.95,26.07,83.22,14925.75,7714.46,1074.84,7,H,Москва
2023,204820.02,134629.67,87810.78,16314.95,27338.99,11490.85,11542.01,644602.07,536977.32,189178.82,171817.12,1012.58,48.93,278564.98,101804.69,40921.2,3,K,Москва
2023,51018.3,33556.15,18908.44,10486.19,232.44,2961.63,4294.71,70254.14,53958.28,15495.34,11921.67,209.44,16.8,22792.17,9146.79,4519.12,0,H,Самарская обл.
2023,3713.57,2286.71,1519.93,367.14,229.48,807.33,300.11,7547.18,5860.71,1599.38,1378.93,174.48,6.13,2868.91,989.44,187.9,3,K,Москва
2023,219253.45,121234.55,91097.95,21844.41,1283.29,27680.58,4270.85,677241.97,589587.73,60666.6,39479.72,2399.59,41.45,289681.74,33346.65,14004.85,29,C,Санкт-Петербург
2023,1385006.06,901540.86,293975.63,3207.82,4034.92,2120.22,1930.08,3460909.45,3391691.26,90659.7,85705.78,867.64,48.7,24961.33,8329.26,2317.85,4,N,Москва
2023,609284.97,389194.25,365200.89,109656.02,70868.93,29734.11,65244.92,449360.98,287587.83,175590.13,182235.3,762.21,1176.01,200267.57,73287.57,38571.19,5,O,Самарская обл.
2023,15186.96,7546.31,6453.84,1291.44,1303.4,3104.01,243.06,28300.66,21780.72,8223.04,6928.29,16.27,4.16,10012.96,3970.47,2377.11,4,J,Москва
2023,10470393.47,4857840.97,4954174.05,723529.53,1454700.11,49151.13,245659.99,23900784.97,15821219.05,6299812.77,3338146.08,61340.41,875.19,10991982.38,5112957.75,1464355.38,14,N,Санкт-Петербург
2023,32817.2,18550.85,17530.49,3256.16,2737.64,8058.74,3180.83,76468.9,71819.78,3708.57,2644.26,185.11,14.51,45174.38,6179.23,2707.0,12,C,Нижегородская обл.
2023,50340.43,39383.99,14974.29,8153.93,13982.46,4343.24,3591.38,43041.35,31042.55,12960.14,11061.98,1613.19,185.4,22022.99,5171.91,2915.49,8,M,Татарстан
2023,1488103.52,541869.0,709552.5,136174.01,149002.79,90699.36,0.0,1598370.84,1016052.25,629235.38,458978.15,13359.86,0.0,758830.8,171824.21,65455.71,5,C,Санкт-Петербург
2023,9257.52,3053.79,3590.83,550.72,1914.99,763.74,48.92,22707.95,19161.39,3553.99,3314.68,472.95,0.39,11185.0,3089.65,786.83,4,G,Санкт-Петербург
2023,262861.03,151069.95,137111.6,34672.2,15309.27,34724.83,12846.66,267935.24,255725.73,19476.24,16566.07,735.73,46.41,151114.25,41094.17,1907.88,22,G,Самарская обл.
2023,6456312.74,3600254.05,1063565.89,1119926.63,64306.44,9953.78,108790.46,8291329.61,7017447.96,938512.33,652475.3,2469.57,179.17,4374196.06,1421968.63,431544.17,23,J,Краснодарский край
2023,2796.92,1611.03,1141.45,339.13,168.07,688.79,121.14,9174.77,7344.22,2545.22,1995.13,29.8,3.41,4373.4,1217.05,343.16,23,G,Санкт-Петербург
2023,268138.14,157287.95,93221.31,32233.37,2910.35,19046.16,16034.53,390568.23,320622.96,89329.72,60095.67,300.1,604.42,205776.43,41451.87,20281.66,21,J,Москва
2023,295902.54,152839.48,139627.99,8939.14,21250.5,14914.21,28693.36,306937.18,282837.72,3459.04,2622.26,1612.63,401.57,95713.72,71915.49,1231.69,15,G,Москва
2023,1154561.17,893029.42,550039.07,0.0,60843.74,20613.76,73739.91,1110612.49,769188.08,281723.27,200995.13,2385.5,2518.41,299613.79,300511.76,59302.86,10,N,Челябинская обл.
